id,sport,league,home_team,away_team,start_time,status,home_odds,draw_odds,away_odds,venue,country,is_featured,is_live,session_fit
evt-001,Football,Premier League,Arsenal,Chelsea,2026-09-08T20:00:00Z,LIVE,1.85,3.40,4.20,Emirates Stadium,England,true,true,94
evt-002,Football,UEFA Champions League,Real Madrid,Man City,2026-09-09T19:00:00Z,UPCOMING,2.10,3.50,3.20,Bernabeu,Spain,true,false,91
evt-003,Football,La Liga,Barcelona,Atletico Madrid,2026-09-10T19:45:00Z,UPCOMING,1.70,3.60,4.80,Camp Nou,Spain,true,false,88
evt-004,Football,Bundesliga,Bayern Munich,Dortmund,2026-09-11T18:30:00Z,UPCOMING,1.55,4.10,5.50,Allianz Arena,Germany,true,false,86
evt-005,Football,Serie A,Juventus,Inter Milan,2026-09-12T19:45:00Z,UPCOMING,2.20,3.30,3.10,Juventus Stadium,Italy,false,false,82
evt-006,Football,Premier League,Man United,Liverpool,2026-09-13T16:30:00Z,UPCOMING,3.10,3.40,2.30,Old Trafford,England,true,false,90
evt-007,Football,Ligue 1,PSG,Lyon,2026-09-14T19:00:00Z,UPCOMING,1.45,4.50,7.00,Parc des Princes,France,false,false,75
evt-008,Football,Premier League,Tottenham,Newcastle,2026-09-15T15:00:00Z,UPCOMING,1.90,3.50,3.90,Tottenham Stadium,England,false,false,77
evt-009,Basketball,NBA,LA Lakers,Boston Celtics,2026-09-08T01:30:00Z,LIVE,1.95,0,1.85,Crypto.com Arena,USA,true,true,85
evt-010,Basketball,NBA,Golden State Warriors,Miami Heat,2026-09-09T03:00:00Z,UPCOMING,1.75,0,2.05,Chase Center,USA,false,false,78
evt-011,Basketball,NBA,Chicago Bulls,New York Knicks,2026-09-10T00:30:00Z,UPCOMING,2.20,0,1.70,United Center,USA,false,false,70
evt-012,Basketball,NBA,Phoenix Suns,Denver Nuggets,2026-09-11T02:00:00Z,UPCOMING,2.10,0,1.78,Footprint Center,USA,false,false,72
evt-013,Tennis,ATP Masters,Djokovic,Alcaraz,2026-09-08T14:00:00Z,LIVE,1.60,0,2.40,Roland Garros,France,true,true,80
evt-014,Tennis,WTA Finals,Swiatek,Sabalenka,2026-09-09T11:00:00Z,UPCOMING,1.55,0,2.50,Shenzhen Arena,China,false,false,72
evt-015,Tennis,ATP 250,Rublev,Humbert,2026-09-10T10:00:00Z,UPCOMING,1.65,0,2.30,Indoor Arena,France,false,false,65
evt-016,Football,World Cup Qualifier,England,Italy,2026-09-20T19:30:00Z,UPCOMING,1.80,3.50,4.20,Wembley,England,true,false,87
evt-017,Football,World Cup Qualifier,Brazil,Argentina,2026-09-21T21:00:00Z,UPCOMING,2.00,3.20,3.60,Maracana,Brazil,true,false,92
evt-018,Football,World Cup Qualifier,Germany,France,2026-09-22T19:00:00Z,UPCOMING,2.20,3.40,3.10,Allianz Arena,Germany,true,false,89
evt-019,Basketball,EuroLeague,CSKA Moscow,Barcelona,2026-09-09T18:00:00Z,UPCOMING,2.05,0,1.80,CSKA Arena,Russia,false,false,68
evt-020,Basketball,EuroLeague,Real Madrid,Fenerbahce,2026-09-10T20:30:00Z,UPCOMING,1.70,0,2.20,WiZink Center,Spain,false,false,70
evt-021,Cricket,IPL,Mumbai Indians,CSK,2026-09-08T15:30:00Z,LIVE,1.90,0,1.95,Wankhede,India,true,true,82
evt-022,Cricket,IPL,RCB,KKR,2026-09-09T15:30:00Z,UPCOMING,2.10,0,1.75,Chinnaswamy,India,false,false,74
